pc,explained,cumulative
1,0.048785547918090706,0.048785547918090706
2,0.04475020192939471,0.09353574984748542
3,0.018813404024800123,0.11234915387228554
4,0.014928311605130567,0.1272774654774161
5,0.01327865917496004,0.14055612465237616
6,0.01015499017490423,0.1507111148272804
7,0.009813526395205795,0.1605246412224862
8,0.009311118521699257,0.16983575974418544
9,0.008007853944253596,0.17784361368843904
10,0.007527343077230916,0.18537095676566995
11,0.007142539546847392,0.19251349631251735
12,0.006981083393919252,0.1994945797064366
13,0.00684497971073546,0.20633955941717208
14,0.006476193557927141,0.21281575297509922
15,0.006178009269366861,0.2189937622444661
16,0.005966841794868309,0.2249606040393344
17,0.0055893187624481136,0.23054992280178252
18,0.005542478219491988,0.23609240102127452
19,0.005462124485392399,0.24155452550666692
20,0.005183742035747023,0.24673826754241396
21,0.004874797690865564,0.25161306523327953
22,0.004784359563172514,0.25639742479645206
23,0.004488790599730597,0.2608862153961827
24,0.004405769845319772,0.26529198524150244
25,0.004356499253823167,0.2696484844953256
26,0.0043302465841705,0.2739787310794961
27,0.004229978879433331,0.27820870995892943
28,0.004168270629743621,0.28237698058867305
29,0.0040953073512012515,0.2864722879398743
30,0.004014806051323949,0.2904870939911982
31,0.0039015148764277676,0.29438860886762597
32,0.0038540657815154117,0.2982426746491414
33,0.0037473079222211133,0.3019899825713625
34,0.003698853544880636,0.30568883611624315
35,0.003632688653024556,0.3093215247692677
36,0.003563476655333946,0.3128850014246017
37,0.0034990581824760614,0.3163840596070777
38,0.0034647731912168887,0.3198488327982946
39,0.0033711234276379647,0.3232199562259326
40,0.0032956522690250263,0.3265156084949576
41,0.003280170641167163,0.32979577913612473
42,0.0032246258618065416,0.3330204049979313
43,0.0031823235603053216,0.33620272855823663
44,0.0031657376288047115,0.33936846618704136
45,0.0030893102913603305,0.3424577764784017
46,0.0030491372116349513,0.34550691369003667
47,0.003018981431297919,0.3485258951213346
48,0.002994188238823052,0.3515200833601576
49,0.0029601003411494423,0.35448018370130707
50,0.0029268486220922737,0.3574070323233993
51,0.0028800531945972784,0.3602870855179966
52,0.00284067119267389,0.3631277567106705
53,0.00279705262281029,0.36592480933348076
54,0.002792174922678049,0.3687169842561588
55,0.0027533342664187205,0.3714703185225775
56,0.002730108210719533,0.374200426733297
57,0.0027002139259148794,0.3769006406592119
58,0.0026856324863771567,0.37958627314558907
59,0.002664358948671655,0.38225063209426074
60,0.0026257747580962195,0.38487640685235697
61,0.0026148512627319435,0.3874912581150889
62,0.002599148174005171,0.3900904062890941
63,0.0025637868694159765,0.3926541931585101
64,0.0025426356376868574,0.39519682879619694
65,0.002509554701500897,0.3977063834976978
66,0.002486335572808451,0.4001927190705063
67,0.002478312748067305,0.4026710318185736
68,0.002464619993321025,0.40513565181189465
69,0.002436700487453465,0.40757235229934813
70,0.002425431975302307,0.40999778427465045
71,0.002385099923946751,0.4123828841985972
72,0.002381123946143905,0.4147640081447411
73,0.0023585005714640513,0.41712250871620515
74,0.0023170014634690743,0.41943951017967424
75,0.0023084244770860624,0.4217479346567603
76,0.002304350849566668,0.42405228550632695
77,0.0022735204314690565,0.426325805937796
78,0.002253191690848925,0.42857899762864493
79,0.0022266444413093665,0.4308056420699543
80,0.002210287867152541,0.43301592993710686
81,0.002197677465161081,0.43521360740226794
82,0.0021819465852966663,0.43739555398756463
83,0.002155582239350675,0.43955113622691533
84,0.002137114668066546,0.44168825089498187
85,0.0021285388389566456,0.4438167897339385
86,0.0021215331138543818,0.4459383228477929
87,0.0020983596556712353,0.4480366825034641
88,0.0020788422485028017,0.4501155247519669
89,0.002072002205132296,0.45218752695709924
90,0.0020410245768797386,0.45422855153397895
91,0.002025838894689526,0.4562543904286685
92,0.002021983663764871,0.4582763740924334
93,0.002001394158680684,0.46027776825111405
94,0.001999639574324557,0.4622774078254386
95,0.001983383290401748,0.46426079111584034
96,0.0019592207457127604,0.4662200118615531
97,0.0019424441672050137,0.4681624560287581
98,0.0019361329096492545,0.4700985889384074
99,0.0019286801248254975,0.4720272690632329
100,0.0019161964262711952,0.4739434654895041
101,0.0019016051875903235,0.4758450706770944
102,0.0018812623486244935,0.47772633302571893
103,0.0018721092702204505,0.4795984422959394
104,0.0018560974624354926,0.4814545397583749
105,0.0018429840407684043,0.48329752379914326
106,0.001833885887900072,0.4851314096870433
107,0.0018226133500073769,0.4869540230370507
108,0.001816025941473364,0.48877004897852405
109,0.0018030247973534234,0.4905730737758775
110,0.0017867553919131297,0.49235982916779064
111,0.0017779922227976397,0.49413782139058826
112,0.0017593743866282884,0.4958971957772165
113,0.0017399232664460037,0.49763711904366253
114,0.0017336960227421203,0.4993708150664046
115,0.001727943746346147,0.5010987588127508
116,0.0017251797640608182,0.5028239385768116
117,0.0017061659876995078,0.5045301045645111
118,0.001693810354659714,0.5062239149191708
119,0.0016794030816565321,0.5079033180008273
120,0.0016660992049752842,0.5095694172058026
121,0.00165314642710762,0.5112225636329102
122,0.0016522313566804735,0.5128747949895907
123,0.0016481411746059917,0.5145229361641966
124,0.001640387584606749,0.5161633237488034
125,0.0016358714432893476,0.5177991951920927
126,0.0016182111703718263,0.5194174063624646
127,0.0016088880822364962,0.521026294444701
128,0.0016043449577679354,0.522630639402469
129,0.0015881533996683539,0.5242187928021373
130,0.00158662007243772,0.525805412874575
131,0.0015731909405231012,0.5273786038150982
132,0.001561645056038583,0.5289402488711368
133,0.0015548705626288438,0.5304951194337656
134,0.0015427653033714018,0.532037884737137
135,0.0015361915693203265,0.5335740763064573
136,0.001527544218149949,0.5351016205246072
137,0.0015192460179785207,0.5366208665425857
138,0.0015103455560310838,0.5381312120986168
139,0.0015066137098999467,0.5396378258085167
140,0.0014945485861895694,0.5411323743947063
141,0.001487837289022755,0.5426202116837291
142,0.0014805787426815703,0.5441007904264107
143,0.0014727565738991764,0.5455735470003099
144,0.001463223055752631,0.5470367700560625
145,0.00145024540782741,0.54848701546389
146,0.0014408777104310442,0.549927893174321
147,0.0014361288185263557,0.5513640219928474
148,0.0014268046523895027,0.5527908266452369
149,0.0014179211306451995,0.5542087477758821
150,0.0014115558135411501,0.5556203035894233
151,0.0014032727792891817,0.5570235763687125
152,0.0013956299552132995,0.5584192063239257
153,0.0013935100314019342,0.5598127163553277
154,0.0013869291480215114,0.5611996455033492
155,0.0013812503094192713,0.5625808958127685
156,0.0013723821842674382,0.5639532779970359
157,0.00136458990285358,0.5653178678998895
158,0.0013573299048826538,0.5666751978047722
159,0.0013511948723355857,0.5680263926771077
160,0.0013480356364239789,0.5693744283135317
161,0.001343435262677974,0.5707178635762097
162,0.0013378182806038125,0.5720556818568135
163,0.0013275962862863084,0.5733832781430999
164,0.0013198762023092757,0.5747031543454091
165,0.0013116323830418052,0.5760147867284509
166,0.0013110544973352017,0.577325841225786
167,0.001300257283661692,0.5786260985094477
168,0.001295845999642853,0.5799219445090905
169,0.0012949437267066532,0.5812168882357972
170,0.0012830284907206452,0.5824999167265178
171,0.0012773311843416516,0.5837772479108595
172,0.0012699585300721273,0.5850472064409317
173,0.0012677123712166458,0.5863149188121484
174,0.0012591108703864195,0.5875740296825348
175,0.0012560905510862188,0.588830120233621
176,0.0012532686509136605,0.5900833888845347
177,0.001246263405679325,0.5913296522902141
178,0.0012402615399354103,0.5925699138301495
179,0.0012302902092643998,0.5938002040394138
180,0.0012250869702740415,0.5950252910096878
181,0.0012213580239959115,0.5962466490336837
182,0.0012173597212910769,0.5974640087549749
183,0.0012129943517754926,0.5986770031067503
184,0.0012048508263159405,0.5998818539330663
185,0.001201217775405817,0.6010830717084721
186,0.0011995794618179596,0.60228265117029
187,0.001190391689482657,0.6034730428597727
188,0.0011827440075406915,0.6046557868673134
189,0.0011796036098274724,0.6058353904771409
190,0.001175786775293808,0.6070111772524347
191,0.0011719389248283755,0.6081831161772631
192,0.001160407443741987,0.6093435236210051
193,0.0011566376692435847,0.6105001612902486
194,0.0011538037321108256,0.6116539650223595
195,0.001149095307141908,0.6128030603295014
196,0.0011433207339961338,0.6139463810634975
197,0.001135428754673085,0.6150818098181706
198,0.0011324300132299183,0.6162142398314006
199,0.0011309004513664286,0.617345140282767
200,0.0011218793468006178,0.6184670196295676
201,0.0011190597924880979,0.6195860794220557
202,0.0011122409857407982,0.6206983204077965
203,0.001107726982938831,0.6218060473907353
204,0.0011027082533532114,0.6229087556440885
205,0.0010990508154225536,0.6240078064595111
206,0.0010944865213264928,0.6251022929808376
207,0.0010892225631566235,0.6261915155439942
208,0.0010864584856106216,0.6272779740296048
209,0.0010806352860929737,0.6283586093156978
210,0.0010787381332431434,0.6294373474489409
211,0.0010725017537866362,0.6305098492027275
212,0.0010695894920586038,0.631579438694786
213,0.0010571115968453881,0.6326365502916315
214,0.0010527062436361517,0.6336892565352676
215,0.001049430599094868,0.6347386871343625
216,0.001048356326083037,0.6357870434604456
217,0.0010435336395254694,0.636830577099971
218,0.0010404732524685923,0.6378710503524396
219,0.001037945945072273,0.6389089962975119
220,0.0010312551525219554,0.6399402514500339
221,0.0010277206261579874,0.6409679720761918
222,0.0010231614442239923,0.6419911335204158
223,0.001017282475055853,0.6430084159954716
224,0.0010129305212427564,0.6440213465167144
225,0.0010087554035121131,0.6450301019202265
226,0.0010063888433532924,0.6460364907635797
227,0.0009987037124106013,0.6470351944759903
228,0.000997155356565831,0.6480323498325562
229,0.0009919175435680338,0.6490242673761243
230,0.0009898802561140597,0.6500141476322383
231,0.0009870764509537662,0.651001224083192
232,0.000981765339254742,0.6519829894224468
233,0.00097933201632821,0.652962321438775
234,0.0009735132405149562,0.65393583467929
235,0.0009701765907941792,0.6549060112700841
236,0.000966554285631381,0.6558725655557155
237,0.0009631169150041726,0.6568356824707197
238,0.0009618378982023523,0.657797520368922
239,0.0009543196749179109,0.6587518400438399
240,0.0009521224703640257,0.6597039625142039
241,0.0009518713999811518,0.660655833914185
242,0.0009462957583141721,0.6616021296724992
243,0.0009431292641684647,0.6625452589366677
244,0.0009379694450986565,0.6634832283817663
245,0.0009339681176646575,0.664417196499431
246,0.0009330384176582061,0.6653502349170892
